,id,SKU,brand_name,name,rating_average,price
61,2245453,6255173116599,,Đúng Việc (Tái Bản),5.0,75000
62,3638033,1290542417681,,Trăm Năm Cô Đơn,4.8,128000
63,252357065,3158205828569,,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 14 Cuốn) (2023),5.0,172800
64,10005245,9970042779039,,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,4.8,129000
65,74362508,5905684717068,,Thần Số Học Ứng Dụng,4.8,83850
66,205581885,7200368839116,,Ba người thầy vĩ đại (Tái bản),5.0,85100
67,111285062,7209066218492,,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),4.8,57000
68,50322710,3720031571252,,48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),5.0,160000
69,179546070,3085297338779,,Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Của Linh Hồn Và Năng Lượng Chữa Lành Cơ Thể Từ Bên Trong,5.0,91100
70,19792256,3714833918766,,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),5.0,37100
71,205574133,3821938737150,,Nhân Duyên Tiền Kiếp,4.8,115000
72,161008715,9654761665285,,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),5.0,119930
73,76013378,7649903171399,,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),5.0,222000
74,91947689,9849183363227,,Sách PACE Books - 7 Thói quen hiệu quả (The 7 Habits Of Highly Effective People) (Tái Bản) - Stephen R. Covey,5.0,200000
75,252770233,3097085086290,,Vẻ Đẹp Của Sự Cô Đơn,5.0,95100
76,142002263,5952706444635,,Muôn Kiếp Nhân Sinh 2 (Bìa Cứng),5.0,234000
77,124767703,8800240678494,,Cân Bằng Cảm Xúc Cả Lúc Bão Giông (Tặng Kèm Bookmark)(Tái Bản),5.0,77100
78,147999778,8760696978124,,Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),5.0,165000
79,253360429,5568136914674,,38 Lá Thư Tỷ Phú John Davison Rockefeller Gửi Cho Con Trai,5.0,158000
80,8885999,3437458435998,,Totto - Chan Bên Cửa Sổ (Tái Bản),5.0,73100
81,260810302,3925872492685,,Ngôi thứ nhất số ít,5.0,81100
82,22881852,5587108239013,,English Grammar in Use Book w Ans,5.0,163760
83,168283405,7064320451538,,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),5.0,124000
84,100321478,2142071726066,,Muốn An Được An (Tái bản 2021),5.0,46098
85,198414891,2348484474478,,Hồ Sơ Tâm Lý Học Tâm Thần Hay Kẻ Điên,4.8,136000
86,185067342,9193694003186,,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản),5.0,62100
87,248446185,1847645111105,,Combo Sách Muôn Kiếp Nhân Sinh Tập 1 + Không Diệt Không Sinh Đừng Sợ Hãi (Bộ 2 Cuốn),5.0,194600
88,12377498,4354517001149,,Bố Con Cá Gai (Tái Bản 2019),5.0,71100
89,188940817,4862841472489,,Vị Thần Của Những Quyết Định,4.8,55100
90,228989363,5688485504899,,Hiểu Về Trái Tim (Tái Bản 2023),5.0,126400
91,262301191,3414702066335,,Combo Muôn Kiếp Nhân Sinh 3 Tập,5.0,480000
92,197263858,7287613296112,,Sách Excel Ứng Dụng Văn Phòng ĐÀO TẠO TIN HỌC Từ Cơ Bản Đến Nâng Cao Có Kèm Video Khóa Học,5.0,188100
